question_id,difficulty,question,gold_answer,document,role,variant,answer_supported
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_01.md,conflict,wrong_scope,"5,900 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_02.md,conflict,secondary,"5,900 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_03.md,noise,noise,
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_04.md,noise,noise,
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_05.md,noise,noise,
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_06.md,conflict,secondary,"9,100 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_07.md,conflict,draft,"5,900 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_08.md,conflict,stale,"5,900 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_09.md,conflict,stale,"8,250 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_10.md,gold,active_authoritative,"7,430 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_11.md,conflict,secondary,"5,900 Quens"
Q001,easy,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_12.md,conflict,draft,"6,700 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_01.md,noise,noise,
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_02.md,conflict,secondary,"6,700 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_03.md,conflict,secondary,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_04.md,noise,noise,
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_05.md,gold,active_authoritative,"7,430 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_06.md,conflict,stale,"8,250 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_07.md,conflict,wrong_scope,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_08.md,noise,noise,
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_09.md,conflict,draft,"6,700 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_10.md,conflict,draft,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_11.md,noise,noise,
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_12.md,conflict,wrong_scope,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_13.md,conflict,secondary,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_14.md,conflict,secondary,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_15.md,conflict,draft,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_16.md,noise,noise,
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_17.md,conflict,wrong_scope,"9,100 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_18.md,conflict,secondary,"8,250 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_19.md,conflict,stale,"5,900 Quens"
Q001,hard,What is the annual reimbursement ceiling for Tier-B employees at Velora Dynamics?,"7,430 Quens",Q001_source_20.md,conflict,stale,"5,900 Quens"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_01.md,gold,active_authoritative,"184,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_02.md,conflict,secondary,"150,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_03.md,conflict,stale,"150,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_04.md,conflict,wrong_scope,"150,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_05.md,conflict,draft,"150,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_06.md,noise,noise,
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_07.md,conflict,stale,"200,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_08.md,conflict,draft,"172,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_09.md,noise,noise,
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_10.md,conflict,secondary,"225,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_11.md,conflict,secondary,"150,000 calls"
Q002,easy,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_12.md,noise,noise,
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_01.md,conflict,wrong_scope,"225,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_02.md,conflict,secondary,"200,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_03.md,conflict,draft,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_04.md,noise,noise,
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_05.md,conflict,draft,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_06.md,conflict,stale,"200,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_07.md,noise,noise,
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_08.md,conflict,secondary,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_09.md,conflict,stale,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_10.md,noise,noise,
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_11.md,conflict,secondary,"172,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_12.md,conflict,secondary,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_13.md,noise,noise,
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_14.md,gold,active_authoritative,"184,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_15.md,conflict,wrong_scope,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_16.md,conflict,wrong_scope,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_17.md,conflict,secondary,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_18.md,conflict,draft,"172,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_19.md,conflict,stale,"150,000 calls"
Q002,hard,What is the maximum monthly API quota for Enterprise-X tenants at Nexora Systems?,"184,000 calls",Q002_source_20.md,noise,noise,
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_01.md,conflict,stale,9 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_02.md,conflict,draft,12 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_03.md,conflict,draft,7 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_04.md,conflict,secondary,7 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_05.md,conflict,secondary,7 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_06.md,noise,noise,
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_07.md,gold,active_authoritative,11 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_08.md,noise,noise,
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_09.md,conflict,secondary,15 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_10.md,conflict,stale,7 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_11.md,conflict,wrong_scope,7 years
Q003,easy,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_12.md,noise,noise,
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_01.md,noise,noise,
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_02.md,conflict,secondary,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_03.md,conflict,wrong_scope,15 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_04.md,noise,noise,
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_05.md,noise,noise,
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_06.md,conflict,stale,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_07.md,conflict,secondary,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_08.md,conflict,stale,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_09.md,conflict,stale,9 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_10.md,conflict,secondary,9 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_11.md,conflict,wrong_scope,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_12.md,conflict,draft,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_13.md,gold,active_authoritative,11 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_14.md,conflict,secondary,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_15.md,conflict,draft,12 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_16.md,conflict,draft,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_17.md,conflict,secondary,12 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_18.md,noise,noise,
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_19.md,conflict,wrong_scope,7 years
Q003,hard,How long must Tier-3 diagnostic records be retained at Arclume Health?,11 years,Q003_source_20.md,noise,noise,
Q004,easy,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,42 minutes,Q004_source_01.md,conflict,stale,60 minutes
Q004,easy,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,42 minutes,Q004_source_02.md,conflict,wrong_scope,60 minutes
Q004,easy,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,42 minutes,Q004_source_03.md,conflict,secondary,60 minutes
Q004,easy,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,42 minutes,Q004_source_04.md,noise,noise,
Q004,easy,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,42 minutes,Q004_source_05.md,noise,noise,
Q004,easy,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,42 minutes,Q004_source_06.md,conflict,secondary,90 minutes
Q004,easy,What is the response-time SLA for Platinum-2 factory incidents at Solvane Robotics?,42 minutes,Q004_source_07.md,conflict,draft,45 minutes
